,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,coremltools,Python
22,corenet,Jupyter Notebook
23,cups,C
24,darwin-libplatform,C
25,darwin-libpthread,C
26,darwin-xnu,C
27,device-management,
28,dmel,Python
29,dmel-demo,HTML
30,dnikit,Python
31,eidas,Go
32,embedding-atlas,TypeScript
33,example-package-fisheryates,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,ml-4m,Python
47,ml-acn-embed,Python
48,ml-act,Python
49,ml-ademamix,Python
50,ml-afv,Python
51,ml-agm,Python
52,ml-aim,Python
53,ml-all-pairs,Python
54,ml-ane-transformers,Python
55,ml-aspanformer,Python
56,ml-aura,Python
57,ml-autofocusformer,Python
58,ml-autofocusformer-segmentation,Python
59,ml-batchquant,Python
60,ml-behavioral-testing-for-mt,
61,ml-bilevel-train-dist,Python
62,ml-bloop,Python
63,ml-calibration,Jupyter Notebook
64,ml-capsules-inverted-attention-routing,Python
65,ml-cifar-10-faster,Python
66,ml-code-switched-speech-translation,Python
67,ml-codeswitching-translations,
68,ml-collegial-ensembles,Python
69,ml-comotion,Python
70,ml-compress-and-compare,Python
71,ml-core,Python
72,ml-covid-mobility,R
73,ml-cread,Python
74,ml-cross-entropy,Python
75,ml-cubifyanything,Python
76,ml-cvnets,Python
77,ml-cvpr2019-swd,Python
78,ml-dab,Python
79,ml-data-parameters,Python
80,ml-dataset-decomposition,Python
81,ml-delphi,
82,ml-depth-pro,Python
83,ml-destseg,Python
84,ml-diffusion-alignment-gflownet,Python
85,ml-direct2.5,Python
86,ml-divide-or-conquer,Python
87,ml-dms-dataset,Python
88,ml-dprecs,Jupyter Notebook
89,ml-dr,Python
90,ml-duet,Python
91,ml-entity-deduction-arena,Python
92,ml-entropy-reconstruction,Python
93,ml-envmapnet,Python
94,ml-equivariant-neural-rendering,Jupyter Notebook
95,ml-facelit,Python
96,ml-famae,Python
97,ml-fastvit,Python
98,ml-fastvlm,Python
99,ml-fct,Python
100,ml-ferret,Python
101,ml-finerecon,Python
102,ml-flair,Jupyter Notebook
103,ml-flextok,Jupyter Notebook
104,ml-gaudi,
105,ml-gbc,Python
106,ml-gendered-translation,Ruby
107,ml-gmpi,Python
108,ml-gsm-symbolic,
109,ml-gsn,Python
110,ml-hd-gist,Python
111,ml-heart-rate-models,Python
112,ml-hierarchical-confusion-matrix,TypeScript
113,ml-hugs,Python
114,ml-hypercloning,Python
115,ml-hypersim,Python
116,ml-interactive-data-augmentation,Svelte
117,ml-internal-llms-instruction-following,Python
118,ml-interspeech2022-phi_rtn,
119,ml-isqoe,Python
120,ml-jointnet,Python
121,ml-key-retrieval-code-tasks,Python
122,ml-keyframer,JavaScript
123,ml-kg-mt,Python
124,ml-kge,Python
125,ml-knowledge-conflicts,Python
126,ml-kpconvx,Python
127,ml-live-pose,
128,ml-llarp,Python
129,ml-lucid-datagen,Python
130,ml-mad-bench,Jupyter Notebook
131,ml-matrix3d,Python
132,ml-mcf,Python
133,ml-mdm,Python
134,ml-mgie,Python
135,ml-mia-bench,Jupyter Notebook
136,ml-MixupMP,Python
137,ml-mkqa,Python
138,ml-mobileclip,Python
139,ml-mobileone,Swift
140,ml-mofi,Python
141,ml-multiple-futures-prediction,Python
142,ml-mycelium,JavaScript
143,ml-ncg,Python
144,ml-negative-sampling,Python
145,ml-neilf,Python
146,ml-neilfpp,Python
147,ml-neuman,Python
148,ml-no-token-left-behind,Jupyter Notebook
149,ml-np-rasp,Python
150,ml-nvas3d,Python
151,ml-ogen,Python
152,ml-pgdvs,Python
153,ml-planner,Python
154,ml-pointconvformer,Python
155,ml-pointersect,Python
156,ml-probabilistic-attention,Python
157,ml-projunit,Python
158,ml-qrecc,Python
159,ml-quant,Python
160,ml-recurrent-drafter,Python
161,ml-reed,Python
162,ml-reversal-blessing,Python
163,ml-rlgrad,Python
164,ml-robust-expert-augmentations,Python
165,ml-rpm-bench,Python
166,ml-sad,Python
167,ml-sage-dialog-gen,Python
168,ml-sampleplan,Python
169,ml-selfcond,Python
170,ml-shuffling-amplification,Python
171,ml-sigma-reparam,Python
172,ml-sigmoid-attention,Python
173,ml-slowfast-llava,Python
174,ml-space-benchmark,Python
175,ml-spatial-librispeech,
176,ml-speech-is-more-than-words,
177,ml-spin,Python
178,ml-stable-diffusion,Python
179,ml-stabledreamer,
180,ml-stuttering-events-dataset,Python
181,ml-superposition-prompting,Python
182,ml-symphony,Svelte
183,ml-tarflow,Python
184,ml-tic-clip,Python
185,ml-tic-lm,Python
